alcaldia,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Mujer,n) 65 a 69 años,3362
CUAJIMALPA DE MORELOS,Mujer,o) 70 a 74 años,2449
CUAJIMALPA DE MORELOS,Mujer,p) 75 a 79 años,1543
CUAJIMALPA DE MORELOS,Mujer,q) 80 a 84 años,1078
CUAJIMALPA DE MORELOS,Mujer,r) 85 años y más,971
GUSTAVO A. MADERO,Hombre,a) 0 a 4 años,32218
GUSTAVO A. MADERO,Hombre,b) 5 a 9 años,36273
GUSTAVO A. MADERO,Hombre,c) 10 a 14 años,39042
GUSTAVO A. MADERO,Hombre,d) 15 a 19 años,43052
GUSTAVO A. MADERO,Hombre,e) 20 a 24 años,46768
GUSTAVO A. MADERO,Hombre,f) 25 a 29 años,46369
GUSTAVO A. MADERO,Hombre,g) 30 a 34 años,43437
GUSTAVO A. MADERO,Hombre,h) 35 a 39 años,40516
GUSTAVO A. MADERO,Hombre,i) 40 a 44 años,38783
GUSTAVO A. MADERO,Hombre,j) 45 a 49 años,39825
GUSTAVO A. MADERO,Hombre,k) 50 a 54 años,37979
GUSTAVO A. MADERO,Hombre,l) 55 a 59 años,32164
GUSTAVO A. MADERO,Hombre,m) 60 a 64 años,27902
GUSTAVO A. MADERO,Hombre,n) 65 a 69 años,20530
GUSTAVO A. MADERO,Hombre,o) 70 a 74 años,15486
GUSTAVO A. MADERO,Hombre,p) 75 a 79 años,10673
GUSTAVO A. MADERO,Hombre,q) 80 a 84 años,7062
GUSTAVO A. MADERO,Hombre,r) 85 años y más,5681
GUSTAVO A. MADERO,Mujer,a) 0 a 4 años,31044
GUSTAVO A. MADERO,Mujer,b) 5 a 9 años,35361
GUSTAVO A. MADERO,Mujer,c) 10 a 14 años,38407
GUSTAVO A. MADERO,Mujer,d) 15 a 19 años,41281
GUSTAVO A. MADERO,Mujer,e) 20 a 24 años,44809
GUSTAVO A. MADERO,Mujer,f) 25 a 29 años,45079
GUSTAVO A. MADERO,Mujer,g) 30 a 34 años,44189
GUSTAVO A. MADERO,Mujer,h) 35 a 39 años,43083
GUSTAVO A. MADERO,Mujer,i) 40 a 44 años,42720
GUSTAVO A. MADERO,Mujer,j) 45 a 49 años,44866
GUSTAVO A. MADERO,Mujer,k) 50 a 54 años,44541
GUSTAVO A. MADERO,Mujer,l) 55 a 59 años,37842
GUSTAVO A. MADERO,Mujer,m) 60 a 64 años,34192
GUSTAVO A. MADERO,Mujer,n) 65 a 69 años,26030
GUSTAVO A. MADERO,Mujer,o) 70 a 74 años,20814
GUSTAVO A. MADERO,Mujer,p) 75 a 79 años,14406
GUSTAVO A. MADERO,Mujer,q) 80 a 84 años,10617
GUSTAVO A. MADERO,Mujer,r) 85 años y más,10076
IZTACALCO,Hombre,a) 0 a 4 años,10426
IZTACALCO,Hombre,b) 5 a 9 años,11781
IZTACALCO,Hombre,c) 10 a 14 años,12900
IZTACALCO,Hombre,d) 15 a 19 años,14264
IZTACALCO,Hombre,e) 20 a 24 años,15348
IZTACALCO,Hombre,f) 25 a 29 años,15573
IZTACALCO,Hombre,g) 30 a 34 años,15482
IZTACALCO,Hombre,h) 35 a 39 años,14487
IZTACALCO,Hombre,i) 40 a 44 años,13514
IZTACALCO,Hombre,j) 45 a 49 años,14074
IZTACALCO,Hombre,k) 50 a 54 años,13188
IZTACALCO,Hombre,l) 55 a 59 años,11269
IZTACALCO,Hombre,m) 60 a 64 años,9660
IZTACALCO,Hombre,n) 65 a 69 años,7097
IZTACALCO,Hombre,o) 70 a 74 años,5192
IZTACALCO,Hombre,p) 75 a 79 años,3488
IZTACALCO,Hombre,q) 80 a 84 años,2400
IZTACALCO,Hombre,r) 85 años y más,2121
IZTACALCO,Mujer,a) 0 a 4 años,10040
IZTACALCO,Mujer,b) 5 a 9 años,11495
IZTACALCO,Mujer,c) 10 a 14 años,12670
IZTACALCO,Mujer,d) 15 a 19 años,13495
IZTACALCO,Mujer,e) 20 a 24 años,15293
IZTACALCO,Mujer,f) 25 a 29 años,16154
IZTACALCO,Mujer,g) 30 a 34 años,16253
IZTACALCO,Mujer,h) 35 a 39 años,15620
IZTACALCO,Mujer,i) 40 a 44 años,15234
IZTACALCO,Mujer,j) 45 a 49 años,16002
IZTACALCO,Mujer,k) 50 a 54 años,15712
IZTACALCO,Mujer,l) 55 a 59 años,13336
IZTACALCO,Mujer,m) 60 a 64 años,12173
IZTACALCO,Mujer,n) 65 a 69 años,9195
IZTACALCO,Mujer,o) 70 a 74 años,7208
IZTACALCO,Mujer,p) 75 a 79 años,4907
IZTACALCO,Mujer,q) 80 a 84 años,3774
IZTACALCO,Mujer,r) 85 años y más,3692
IZTAPALAPA,Hombre,a) 0 a 4 años,52070
IZTAPALAPA,Hombre,b) 5 a 9 años,64449
IZTAPALAPA,Hombre,c) 10 a 14 años,69528
IZTAPALAPA,Hombre,d) 15 a 19 años,73108
IZTAPALAPA,Hombre,e) 20 a 24 años,75828
IZTAPALAPA,Hombre,f) 25 a 29 años,75498
IZTAPALAPA,Hombre,g) 30 a 34 años,71308
IZTAPALAPA,Hombre,h) 35 a 39 años,66445
IZTAPALAPA,Hombre,i) 40 a 44 años,62646
IZTAPALAPA,Hombre,j) 45 a 49 años,61013
IZTAPALAPA,Hombre,k) 50 a 54 años,54898
IZTAPALAPA,Hombre,l) 55 a 59 años,45370
IZTAPALAPA,Hombre,m) 60 a 64 años,39606
IZTAPALAPA,Hombre,n) 65 a 69 años,29058
IZTAPALAPA,Hombre,o) 70 a 74 años,20815
IZTAPALAPA,Hombre,p) 75 a 79 años,12994
IZTAPALAPA,Hombre,q) 80 a 84 años,7309
IZTAPALAPA,Hombre,r) 85 años y más,5513
IZTAPALAPA,Mujer,a) 0 a 4 años,51078
IZTAPALAPA,Mujer,b) 5 a 9 años,62279
IZTAPALAPA,Mujer,c) 10 a 14 años,67431
IZTAPALAPA,Mujer,d) 15 a 19 años,70085
IZTAPALAPA,Mujer,e) 20 a 24 años,74912
IZTAPALAPA,Mujer,f) 25 a 29 años,76092
IZTAPALAPA,Mujer,g) 30 a 34 años,73562
IZTAPALAPA,Mujer,h) 35 a 39 años,70485
IZTAPALAPA,Mujer,i) 40 a 44 años,68867
IZTAPALAPA,Mujer,j) 45 a 49 años,68372
IZTAPALAPA,Mujer,k) 50 a 54 años,63783
IZTAPALAPA,Mujer,l) 55 a 59 años,53920
IZTAPALAPA,Mujer,m) 60 a 64 años,48146
IZTAPALAPA,Mujer,n) 65 a 69 años,35877
IZTAPALAPA,Mujer,o) 70 a 74 años,26051
IZTAPALAPA,Mujer,p) 75 a 79 años,16469
IZTAPALAPA,Mujer,q) 80 a 84 años,10539
IZTAPALAPA,Mujer,r) 85 años y más,9687
LA MAGDALENA CONTRERAS,Hombre,a) 0 a 4 años,6512
LA MAGDALENA CONTRERAS,Hombre,b) 5 a 9 años,8278
LA MAGDALENA CONTRERAS,Hombre,c) 10 a 14 años,9066
LA MAGDALENA CONTRERAS,Hombre,d) 15 a 19 años,9585
LA MAGDALENA CONTRERAS,Hombre,e) 20 a 24 años,10068
LA MAGDALENA CONTRERAS,Hombre,f) 25 a 29 años,9763
LA MAGDALENA CONTRERAS,Hombre,g) 30 a 34 años,8855
LA MAGDALENA CONTRERAS,Hombre,h) 35 a 39 años,8479
LA MAGDALENA CONTRERAS,Hombre,i) 40 a 44 años,8278
LA MAGDALENA CONTRERAS,Hombre,j) 45 a 49 años,8791
LA MAGDALENA CONTRERAS,Hombre,k) 50 a 54 años,7915
LA MAGDALENA CONTRERAS,Hombre,l) 55 a 59 años,6251
LA MAGDALENA CONTRERAS,Hombre,m) 60 a 64 años,5424
LA MAGDALENA CONTRERAS,Hombre,n) 65 a 69 años,4035
LA MAGDALENA CONTRERAS,Hombre,o) 70 a 74 años,3072
LA MAGDALENA CONTRERAS,Hombre,p) 75 a 79 años,1899
LA MAGDALENA CONTRERAS,Hombre,q) 80 a 84 años,1096
LA MAGDALENA CONTRERAS,Hombre,r) 85 años y más,901
LA MAGDALENA CONTRERAS,Mujer,a) 0 a 4 años,6500
LA MAGDALENA CONTRERAS,Mujer,b) 5 a 9 años,7992
LA MAGDALENA CONTRERAS,Mujer,c) 10 a 14 años,9030
LA MAGDALENA CONTRERAS,Mujer,d) 15 a 19 años,9304
LA MAGDALENA CONTRERAS,Mujer,e) 20 a 24 años,9901
LA MAGDALENA CONTRERAS,Mujer,f) 25 a 29 años,10070
LA MAGDALENA CONTRERAS,Mujer,g) 30 a 34 años,9287
LA MAGDALENA CONTRERAS,Mujer,h) 35 a 39 años,9198
LA MAGDALENA CONTRERAS,Mujer,i) 40 a 44 años,9538
LA MAGDALENA CONTRERAS,Mujer,j) 45 a 49 años,10030
LA MAGDALENA CONTRERAS,Mujer,k) 50 a 54 años,9319
LA MAGDALENA CONTRERAS,Mujer,l) 55 a 59 años,7496
LA MAGDALENA CONTRERAS,Mujer,m) 60 a 64 años,6583
LA MAGDALENA CONTRERAS,Mujer,n) 65 a 69 años,5213
LA MAGDALENA CONTRERAS,Mujer,o) 70 a 74 años,3774
LA MAGDALENA CONTRERAS,Mujer,p) 75 a 79 años,2583
LA MAGDALENA CONTRERAS,Mujer,q) 80 a 84 años,1736
LA MAGDALENA CONTRERAS,Mujer,r) 85 años y más,1757
MILPA ALTA,Hombre,a) 0 a 4 años,5173
MILPA ALTA,Hombre,b) 5 a 9 años,6368
MILPA ALTA,Hombre,c) 10 a 14 años,6719
MILPA ALTA,Hombre,d) 15 a 19 años,6977
MILPA ALTA,Hombre,e) 20 a 24 años,6748
MILPA ALTA,Hombre,f) 25 a 29 años,6303
MILPA ALTA,Hombre,g) 30 a 34 años,5577
MILPA ALTA,Hombre,h) 35 a 39 años,5176
MILPA ALTA,Hombre,i) 40 a 44 años,4984
MILPA ALTA,Hombre,j) 45 a 49 años,4838
MILPA ALTA,Hombre,k) 50 a 54 años,4355
MILPA ALTA,Hombre,l) 55 a 59 años,3476
MILPA ALTA,Hombre,m) 60 a 64 años,2724
MILPA ALTA,Hombre,n) 65 a 69 años,1911
MILPA ALTA,Hombre,o) 70 a 74 años,1263
MILPA ALTA,Hombre,p) 75 a 79 años,867
MILPA ALTA,Hombre,q) 80 a 84 años,518
MILPA ALTA,Hombre,r) 85 años y más,387
MILPA ALTA,Mujer,a) 0 a 4 años,5175
MILPA ALTA,Mujer,b) 5 a 9 años,6297
MILPA ALTA,Mujer,c) 10 a 14 años,6579
MILPA ALTA,Mujer,d) 15 a 19 años,6468
MILPA ALTA,Mujer,e) 20 a 24 años,6643
MILPA ALTA,Mujer,f) 25 a 29 años,6646
MILPA ALTA,Mujer,g) 30 a 34 años,6113
MILPA ALTA,Mujer,h) 35 a 39 años,5819
MILPA ALTA,Mujer,i) 40 a 44 años,5607
MILPA ALTA,Mujer,j) 45 a 49 años,5377
MILPA ALTA,Mujer,k) 50 a 54 años,5073
MILPA ALTA,Mujer,l) 55 a 59 años,3743
MILPA ALTA,Mujer,m) 60 a 64 años,2972
MILPA ALTA,Mujer,n) 65 a 69 años,2101
MILPA ALTA,Mujer,o) 70 a 74 años,1498
MILPA ALTA,Mujer,p) 75 a 79 años,963
