alcaldia,sexo,rango_edad,poblacion
CUAUHTEMOC,Hombre,a) 0 a 4 años,13027
CUAUHTEMOC,Hombre,b) 5 a 9 años,13971
CUAUHTEMOC,Hombre,c) 10 a 14 años,15217
CUAUHTEMOC,Hombre,d) 15 a 19 años,16162
CUAUHTEMOC,Hombre,e) 20 a 24 años,19045
CUAUHTEMOC,Hombre,f) 25 a 29 años,25021
CUAUHTEMOC,Hombre,g) 30 a 34 años,27072
CUAUHTEMOC,Hombre,h) 35 a 39 años,23744
CUAUHTEMOC,Hombre,i) 40 a 44 años,19976
CUAUHTEMOC,Hombre,j) 45 a 49 años,18634
CUAUHTEMOC,Hombre,k) 50 a 54 años,16398
CUAUHTEMOC,Hombre,l) 55 a 59 años,13993
CUAUHTEMOC,Hombre,m) 60 a 64 años,12776
CUAUHTEMOC,Hombre,n) 65 a 69 años,9666
CUAUHTEMOC,Hombre,o) 70 a 74 años,7036
CUAUHTEMOC,Hombre,p) 75 a 79 años,4341
CUAUHTEMOC,Hombre,q) 80 a 84 años,2705
CUAUHTEMOC,Hombre,r) 85 años y más,2139
CUAUHTEMOC,Mujer,a) 0 a 4 años,13005
CUAUHTEMOC,Mujer,b) 5 a 9 años,13559
CUAUHTEMOC,Mujer,c) 10 a 14 años,14690
CUAUHTEMOC,Mujer,d) 15 a 19 años,15628
CUAUHTEMOC,Mujer,e) 20 a 24 años,19252
CUAUHTEMOC,Mujer,f) 25 a 29 años,25150
CUAUHTEMOC,Mujer,g) 30 a 34 años,26745
CUAUHTEMOC,Mujer,h) 35 a 39 años,24149
CUAUHTEMOC,Mujer,i) 40 a 44 años,21015
CUAUHTEMOC,Mujer,j) 45 a 49 años,20138
CUAUHTEMOC,Mujer,k) 50 a 54 años,19334
CUAUHTEMOC,Mujer,l) 55 a 59 años,17084
CUAUHTEMOC,Mujer,m) 60 a 64 años,16742
CUAUHTEMOC,Mujer,n) 65 a 69 años,12671
CUAUHTEMOC,Mujer,o) 70 a 74 años,9884
CUAUHTEMOC,Mujer,p) 75 a 79 años,6478
CUAUHTEMOC,Mujer,q) 80 a 84 años,4863
CUAUHTEMOC,Mujer,r) 85 años y más,4508
MIGUEL HIDALGO,Hombre,a) 0 a 4 años,10208
MIGUEL HIDALGO,Hombre,b) 5 a 9 años,10517
MIGUEL HIDALGO,Hombre,c) 10 a 14 años,10998
MIGUEL HIDALGO,Hombre,d) 15 a 19 años,11337
MIGUEL HIDALGO,Hombre,e) 20 a 24 años,13256
MIGUEL HIDALGO,Hombre,f) 25 a 29 años,16511
MIGUEL HIDALGO,Hombre,g) 30 a 34 años,18650
MIGUEL HIDALGO,Hombre,h) 35 a 39 años,17544
MIGUEL HIDALGO,Hombre,i) 40 a 44 años,15640
MIGUEL HIDALGO,Hombre,j) 45 a 49 años,14744
MIGUEL HIDALGO,Hombre,k) 50 a 54 años,12846
MIGUEL HIDALGO,Hombre,l) 55 a 59 años,10748
MIGUEL HIDALGO,Hombre,m) 60 a 64 años,9198
MIGUEL HIDALGO,Hombre,n) 65 a 69 años,7139
MIGUEL HIDALGO,Hombre,o) 70 a 74 años,5254
MIGUEL HIDALGO,Hombre,p) 75 a 79 años,3613
MIGUEL HIDALGO,Hombre,q) 80 a 84 años,2342
MIGUEL HIDALGO,Hombre,r) 85 años y más,1960
MIGUEL HIDALGO,Mujer,a) 0 a 4 años,9771
MIGUEL HIDALGO,Mujer,b) 5 a 9 años,10357
MIGUEL HIDALGO,Mujer,c) 10 a 14 años,10644
MIGUEL HIDALGO,Mujer,d) 15 a 19 años,11257
MIGUEL HIDALGO,Mujer,e) 20 a 24 años,13788
MIGUEL HIDALGO,Mujer,f) 25 a 29 años,18160
MIGUEL HIDALGO,Mujer,g) 30 a 34 años,19953
MIGUEL HIDALGO,Mujer,h) 35 a 39 años,18658
MIGUEL HIDALGO,Mujer,i) 40 a 44 años,17508
MIGUEL HIDALGO,Mujer,j) 45 a 49 años,16498
MIGUEL HIDALGO,Mujer,k) 50 a 54 años,14962
MIGUEL HIDALGO,Mujer,l) 55 a 59 años,12878
MIGUEL HIDALGO,Mujer,m) 60 a 64 años,11730
MIGUEL HIDALGO,Mujer,n) 65 a 69 años,9186
MIGUEL HIDALGO,Mujer,o) 70 a 74 años,7429
MIGUEL HIDALGO,Mujer,p) 75 a 79 años,5347
MIGUEL HIDALGO,Mujer,q) 80 a 84 años,3837
MIGUEL HIDALGO,Mujer,r) 85 años y más,4076
VENUSTIANO CARRANZA,Hombre,a) 0 a 4 años,11659
VENUSTIANO CARRANZA,Hombre,b) 5 a 9 años,13651
VENUSTIANO CARRANZA,Hombre,c) 10 a 14 años,14407
VENUSTIANO CARRANZA,Hombre,d) 15 a 19 años,15235
VENUSTIANO CARRANZA,Hombre,e) 20 a 24 años,16603
VENUSTIANO CARRANZA,Hombre,f) 25 a 29 años,17227
VENUSTIANO CARRANZA,Hombre,g) 30 a 34 años,16711
VENUSTIANO CARRANZA,Hombre,h) 35 a 39 años,15692
VENUSTIANO CARRANZA,Hombre,i) 40 a 44 años,14622
VENUSTIANO CARRANZA,Hombre,j) 45 a 49 años,14816
VENUSTIANO CARRANZA,Hombre,k) 50 a 54 años,13966
VENUSTIANO CARRANZA,Hombre,l) 55 a 59 años,12307
VENUSTIANO CARRANZA,Hombre,m) 60 a 64 años,10937
VENUSTIANO CARRANZA,Hombre,n) 65 a 69 años,7985
VENUSTIANO CARRANZA,Hombre,o) 70 a 74 años,5765
VENUSTIANO CARRANZA,Hombre,p) 75 a 79 años,3738
VENUSTIANO CARRANZA,Hombre,q) 80 a 84 años,2488
VENUSTIANO CARRANZA,Hombre,r) 85 años y más,2104
VENUSTIANO CARRANZA,Mujer,a) 0 a 4 años,11488
VENUSTIANO CARRANZA,Mujer,b) 5 a 9 años,13109
VENUSTIANO CARRANZA,Mujer,c) 10 a 14 años,13767
VENUSTIANO CARRANZA,Mujer,d) 15 a 19 años,14875
VENUSTIANO CARRANZA,Mujer,e) 20 a 24 años,16380
VENUSTIANO CARRANZA,Mujer,f) 25 a 29 años,17693
VENUSTIANO CARRANZA,Mujer,g) 30 a 34 años,17730
VENUSTIANO CARRANZA,Mujer,h) 35 a 39 años,17029
VENUSTIANO CARRANZA,Mujer,i) 40 a 44 años,16594
VENUSTIANO CARRANZA,Mujer,j) 45 a 49 años,17030
VENUSTIANO CARRANZA,Mujer,k) 50 a 54 años,16838
VENUSTIANO CARRANZA,Mujer,l) 55 a 59 años,14896
VENUSTIANO CARRANZA,Mujer,m) 60 a 64 años,13793
VENUSTIANO CARRANZA,Mujer,n) 65 a 69 años,10332
VENUSTIANO CARRANZA,Mujer,o) 70 a 74 años,8072
VENUSTIANO CARRANZA,Mujer,p) 75 a 79 años,5465
VENUSTIANO CARRANZA,Mujer,q) 80 a 84 años,4184
VENUSTIANO CARRANZA,Mujer,r) 85 años y más,4101
